Row Labels,Count of [SESSION] Is session switch to agent?,Ratio,,,,,,
N,4010,0.753759398,,,,,,
Y,1310,0.246240602,,,,,,
Grand Total,5320,,,,,,,
For ID 1000060904 ,427,0.080263158,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,Row Labels,Count of [SESSION] Is session switch to agent?
,,,,,,,Grand Total,5320
,,,,,,,,
,,,,,,,1000060904,427
,,,,,,,1000071108,293
,,,,,,,1000060850,225
,,,,,,,1000060239,197
,,,,,,,1000067254,188
,,,,,,,1000060892,162
,,,,,,,1000065715,159
,,,,,,,1000065742,153
,,,,,,,1000080024,139
,,,,,,,1000072884,138
,,,,,,,1000069364,130
,,,,,,,1000060238,106
,,,,,,,1000079427,100
,,,,,,,1000079271,93
,,,,,,,1000069362,70
,,,,,,,1000072889,67
,,,,,,,1000072891,66
,,,,,,,1000080025,63
,,,,,,,1000072887,62
,,,,,,,1000080070,61
,,,,,,,1000060679,59
,,,,,,,1000066509,58
,,,,,,,1000072893,54
,,,,,,,1000075180,52
,,,,,,,1000061920,44
,,,,,,,1000060778,41
,,,,,,,1000060244,41
,,,,,,,1000068342,40
,,,,,,,1000066513,40
,,,,,,,1000066511,38
,,,,,,,1000060732,35
,,,,,,,1000072907,34
,,,,,,,1000079387,31
,,,,,,,1000070871,30
,,,,,,,1000074742,29
,,,,,,,1000060715,28
,,,,,,,1000069277,27
,,,,,,,1000070095,26
,,,,,,,1000069497,26
,,,,,,,1000064653,24
,,,,,,,1000075173,23
,,,,,,,1000080041,22
,,,,,,,1000060889,22
,,,,,,,1000060804,22
,,,,,,,1000065698,21
,,,,,,,1000063421,21
,,,,,,,1000079839,20
,,,,,,,1000070850,20
,,,,,,,1000070872,19
,,,,,,,1000066510,19
,,,,,,,1000060708,19
,,,,,,,1000060685,18
,,,,,,,1000067717,17
,,,,,,,1000060837,17
,,,,,,,1000060812,17
,,,,,,,1000066512,16
,,,,,,,1000065922,16
,,,,,,,1000069345,15
,,,,,,,1000069284,15
,,,,,,,1000060759,15
,,,,,,,1000065695,12
,,,,,,,1000079423,11
,,,,,,,1000060891,11
,,,,,,,1000075272,10
,,,,,,,1000070213,10
,,,,,,,1000060706,10
,,,,,,,1000072921,9
,,,,,,,1000072926,8
,,,,,,,1000060933,8
,,,,,,,1000060172,8
,,,,,,,1000081603,7
,,,,,,,1000079899,7
,,,,,,,1000072913,7
,,,,,,,1000070874,7
,,,,,,,1000070860,7
,,,,,,,1000066514,7
,,,,,,,1000061921,7
,,,,,,,1000060918,7
,,,,,,,1000060694,7
,,,,,,,1000060681,7
,,,,,,,1000070857,6
,,,,,,,1000060848,6
,,,,,,,1000060823,6
,,,,,,,1000060820,6
,,,,,,,1000060721,6
,,,,,,,1000069492,5
,,,,,,,1000069346,5
,,,,,,,1000065696,5
,,,,,,,1000060923,5
,,,,,,,1000060915,5
,,,,,,,1000060903,5
,,,,,,,1000060875,5
,,,,,,,1000060739,5
,,,,,,,1000060164,5
,,,,,,,1000080042,4
,,,,,,,1000079425,4
,,,,,,,1000070894,4
,,,,,,,1000070861,4
,,,,,,,1000070211,4
,,,,,,,1000069330,4
,,,,,,,1000069017,4
,,,,,,,1000067266,4
,,,,,,,1000060888,4
,,,,,,,1000060887,4
,,,,,,,1000060874,4
,,,,,,,1000060843,4
,,,,,,,1000060835,4
,,,,,,,1000060740,4
,,,,,,,1000060697,4
,,,,,,,1000060243,4
,,,,,,,1000075299,3
,,,,,,,1000069555,3
,,,,,,,1000069505,3
,,,,,,,1000069504,3
,,,,,,,1000069359,3
,,,,,,,1000068841,3
,,,,,,,1000068736,3
,,,,,,,1000067267,3
,,,,,,,1000066800,3
,,,,,,,1000063237,3
,,,,,,,1000062869,3
,,,,,,,1000061923,3
,,,,,,,1000060926,3
,,,,,,,1000060890,3
,,,,,,,1000060866,3
,,,,,,,1000060839,3
,,,,,,,1000060727,3
,,,,,,,1000060122,3
,,,,,,,1000084043,2
,,,,,,,1000080216,2
,,,,,,,1000072924,2
,,,,,,,1000070902,2
,,,,,,,1000070375,2
,,,,,,,1000070372,2
,,,,,,,1000069493,2
,,,,,,,1000069361,2
,,,,,,,1000069335,2
,,,,,,,1000069329,2
,,,,,,,1000069300,2
,,,,,,,1000069292,2
,,,,,,,1000069255,2
,,,,,,,1000069184,2
,,,,,,,1000068858,2
,,,,,,,1000068779,2
,,,,,,,1000068773,2
,,,,,,,1000066653,2
,,,,,,,1000060940,2
,,,,,,,1000060867,2
,,,,,,,1000060851,2
,,,,,,,1000060833,2
,,,,,,,1000060769,2
,,,,,,,1000060749,2
,,,,,,,1000060747,2
,,,,,,,1000060738,2
,,,,,,,1000060730,2
,,,,,,,1000060729,2
,,,,,,,1000060717,2
